City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Balkanabat,80,TM,1545694687,91,39.51,54.36,30.36,2.35
Hilo,90,US,1545691980,84,19.71,-155.08,75.02,11.41
Jamestown,0,AU,1545694609,16,-33.21,138.6,91.15,9.62
Pokhara,0,NP,1545694688,56,28.21,83.99,29.73,2.57
Saint-Joseph,0,FR,1545692400,100,43.56,6.97,44.6,2.24
Rio Brilhante,36,BR,1545694689,91,-21.8,-54.54,76.57,1.57
Rafaela,0,AR,1545694689,37,-31.25,-61.49,80.98,8.95
Kendari,76,ID,1545694690,95,-3.99,122.52,76.57,3.24
Saint-Francois,0,FR,1545692400,93,46.42,3.91,35.6,3.36
Fortuna,0,ES,1545692400,100,38.18,-1.13,48.2,3.36
Faanui,88,PF,1545694691,100,-16.48,-151.75,82.87,12.41
Durango,1,US,1545691980,33,37.28,-107.88,46.45,11.41
Port Alfred,0,ZA,1545694693,98,-33.59,26.89,67.26,2.68
Avarua,75,CK,1545692400,66,-21.21,-159.78,86,11.41
Ushuaia,40,AR,1545692400,57,-54.81,-68.31,48.2,19.46
Bredasdorp,0,ZA,1545692400,73,-34.53,20.04,69.8,2.24
Korem,0,ET,1545694695,91,12.51,39.52,40.26,2.13
Thompson,20,CA,1545692400,76,55.74,-97.86,-7.61,4.7
Providencia,40,CO,1545692400,49,1.24,-77.6,60.69,3.36
Busselton,12,AU,1545694697,89,-33.64,115.35,70.59,9.62
Clinton,1,US,1545692160,81,41.84,-90.19,30.02,6.93
Miles City,1,US,1545691980,61,46.41,-105.84,37.04,4.7
Nalut,0,LY,1545694701,80,31.86,10.98,35.67,4.14
Torbay,90,CA,1545692400,68,47.66,-52.73,24.8,12.75
Hermanus,0,ZA,1545694702,98,-34.42,19.24,56.46,2.24
Port Lincoln,0,AU,1545694113,67,-34.72,135.86,73.6,8.05
Dikson,88,RU,1545694703,100,73.51,80.55,20.37,33.55
Lata,0,IN,1545694704,69,30.78,78.62,15.73,1.68
Punta Arenas,40,CL,1545692400,46,-53.16,-70.91,50,18.34
Paamiut,92,GL,1545694706,89,61.99,-49.67,35.35,29.75
Kapaa,75,US,1545692160,66,22.08,-159.32,78.98,12.75
Socorro,56,PH,1545694707,100,13.06,121.41,74.46,1.23
San Vicente,20,SV,1545691800,62,13.64,-88.78,84.2,3.36
Pevek,12,RU,1545694708,100,69.7,170.27,-27.88,3.91
Victoria,75,BN,1545692400,94,5.28,115.24,77.79,10.4
Nouadhibou,76,MR,1545688800,48,20.93,-17.03,66.2,12.75
Castro,75,CL,1545692400,72,-42.48,-73.76,64.4,4.7
Caravelas,0,BR,1545694712,98,-17.73,-39.27,80.94,22.7
Mataura,0,NZ,1545694713,71,-46.19,168.86,74.91,4.14
Samaipata,76,BO,1545694715,96,-18.18,-63.88,66.72,2.35
Nyurba,48,RU,1545694715,38,63.29,118.35,-24.77,6.6
East London,88,ZA,1545694716,100,-33.02,27.91,70.9,5.7
Atuona,24,PF,1545694716,100,-9.8,-139.03,81.07,17.34
Kruisfontein,8,ZA,1545694717,93,-34,24.73,63.7,1.9
Chuy,0,UY,1545694722,85,-33.69,-53.46,66.09,11.63
Ancud,75,CL,1545692400,72,-41.87,-73.83,64.4,4.7
Brigantine,1,US,1545692400,59,39.41,-74.36,37.6,5.82
Tuktoyaktuk,75,CA,1545692400,65,69.44,-133.03,-34.61,4.7
Havoysund,20,NO,1545693600,86,71,24.66,26.6,9.17
Dukat,80,RS,1545694724,92,42.44,22.31,29.77,5.48
Rikitea,32,PF,1545694726,100,-23.12,-134.97,78.51,15.21
Alekseyevsk,0,RU,1545694726,0,57.84,108.35,-44.57,2.46
Vaini,56,IN,1545694726,88,15.34,74.49,69.87,2.91
Campoverde,20,IT,1545693600,93,41.54,12.73,51.85,9.17
Narsaq,92,GL,1545694196,94,60.91,-46.05,31.17,5.59
Puerto Ayora,20,EC,1545692400,69,-0.74,-90.35,82.4,17.22
Albany,90,US,1545693360,59,42.65,-73.75,33.98,6.93
Kodiak,40,US,1545693300,48,39.95,-94.76,42.51,6.93
Sur,0,OM,1545694731,100,22.57,59.53,68.25,2.57
